Method,Machine Type,Source Hmean,Target Hmean,AUC Hmean,pAUC Hmean
AE,ToyCar,59.66,54.98,62.7,52.62
AE,ToyTrain,64.03,51.74,61.18,52.76
AE,Fan,59.67,56.25,63.47,53.23
AE,Gearbox,56.32,60.73,65.84,52.53
AE,Pump,63.8,52.95,61.61,54.56
AE,Slider,66.55,55.9,66.49,55.94
AE,Valve,52.55,51.02,53.36,50.29
AE,Overall,60.02,54.63,61.81,53.22
AE-BL,ToyCar,59.4,55.8,62.49,52.36
AE-BL,ToyTrain,64.3,51.9,61.71,53.81
AE-BL,Fan,59.1,56.7,63.24,53.38
AE-BL,Gearbox,56.4,61,65.97,52.76
AE-BL,Pump,63.8,53,61.92,54.41
AE-BL,Slider,67,55.7,66.74,55.94
AE-BL,Valve,52.4,51.4,53.41,50.54
AE-BL,Overall,60,54.7,,
